               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.033459,            0.022796,            0.012738,             0.78543,             0.63426,             0.72767,             0.46904,            0.032391,             0.01104,            0.022924,            0.008218,            0.008218,            0.008218
                  56,            0.033398,            0.022554,            0.012207,              0.7591,             0.72059,             0.76923,             0.50419,            0.032773,            0.011074,            0.018467,            0.008185,            0.008185,            0.008185
                  57,            0.033802,            0.022905,            0.012558,             0.80669,             0.70195,             0.76124,             0.50405,            0.032278,            0.010685,            0.021431,            0.008152,            0.008152,            0.008152
                  58,            0.033912,            0.022763,            0.012735,             0.73561,             0.68723,             0.74536,             0.48919,            0.032309,            0.010554,            0.017336,            0.008119,            0.008119,            0.008119
                  59,            0.033564,            0.023095,            0.012759,             0.78182,             0.68176,             0.74521,             0.49364,            0.032776,            0.010807,            0.017692,            0.008086,            0.008086,            0.008086
                  60,            0.032949,            0.022328,            0.011944,             0.74895,              0.7066,             0.75015,             0.48862,            0.032126,            0.010928,            0.021118,            0.008053,            0.008053,            0.008053
                  61,            0.033543,            0.022506,            0.013008,             0.76579,             0.68489,             0.73945,             0.47279,            0.034476,             0.01144,            0.019684,             0.00802,             0.00802,             0.00802
                  62,            0.033562,             0.02327,            0.012489,             0.74604,              0.7282,             0.77311,             0.51607,             0.03189,            0.010562,             0.01572,            0.007987,            0.007987,            0.007987
                  63,            0.033468,            0.022662,            0.012225,             0.78166,             0.65565,              0.7335,             0.48161,            0.032789,            0.011431,            0.017843,            0.007954,            0.007954,            0.007954
                  64,            0.033733,            0.022586,            0.012572,             0.72998,             0.72592,             0.75234,             0.49816,            0.032853,            0.010882,            0.015673,            0.007921,            0.007921,            0.007921
                  65,             0.03306,            0.022381,            0.012302,             0.73517,             0.72505,             0.77086,             0.50535,            0.032439,            0.010809,            0.017281,            0.007888,            0.007888,            0.007888
                  66,            0.032778,            0.022276,            0.011843,              0.7737,             0.71804,             0.77055,             0.50389,            0.032114,            0.010693,            0.018682,            0.007855,            0.007855,            0.007855
                  67,            0.032798,             0.02221,             0.01262,             0.78151,             0.66285,             0.75032,             0.50588,            0.030886,            0.011035,            0.020815,            0.007822,            0.007822,            0.007822
                  68,             0.03306,            0.022289,            0.012553,             0.75808,             0.71833,             0.76529,             0.49528,            0.032537,            0.011087,            0.018728,            0.007789,            0.007789,            0.007789
                  69,            0.033348,            0.022385,            0.012452,             0.79522,             0.66971,             0.74228,             0.49719,            0.031597,            0.010898,            0.020773,            0.007756,            0.007756,            0.007756
                  70,            0.032378,            0.022468,            0.011939,             0.74176,             0.73749,             0.76468,             0.50407,            0.030388,            0.010715,            0.019246,            0.007723,            0.007723,            0.007723
                  71,            0.032623,            0.022194,            0.011836,             0.79553,             0.70215,             0.77376,             0.51737,            0.030605,            0.010764,            0.018408,             0.00769,             0.00769,             0.00769
                  72,            0.032642,            0.022443,            0.011385,             0.79712,             0.71049,             0.77725,             0.51886,            0.031009,            0.010818,            0.017822,            0.007657,            0.007657,            0.007657
                  73,            0.032276,            0.022533,            0.011068,             0.71202,              0.7273,             0.75956,             0.50699,            0.030445,            0.010894,            0.019602,            0.007624,            0.007624,            0.007624
                  74,            0.032169,            0.022195,             0.01078,             0.89586,             0.65016,             0.78704,             0.51899,            0.031954,            0.010469,            0.017338,            0.007591,            0.007591,            0.007591
                  75,            0.032252,            0.022114,            0.011141,             0.73357,             0.73916,             0.77703,             0.50972,            0.030674,            0.010599,            0.018621,            0.007558,            0.007558,            0.007558
                  76,            0.031946,             0.02207,            0.011521,             0.80136,             0.72685,             0.79742,             0.51966,            0.031484,            0.010655,            0.017853,            0.007525,            0.007525,            0.007525
                  77,            0.032301,             0.02227,            0.011402,             0.77267,             0.68948,              0.7648,             0.51081,            0.031522,            0.010626,            0.017791,            0.007492,            0.007492,            0.007492
                  78,            0.032253,            0.021974,            0.011158,             0.69741,             0.73592,             0.74773,             0.49739,            0.031011,            0.010744,            0.020678,            0.007459,            0.007459,            0.007459
                  79,            0.031924,            0.022313,            0.010254,             0.77568,             0.71435,              0.7884,             0.52149,            0.031873,            0.010681,            0.017584,            0.007426,            0.007426,            0.007426
                  80,            0.031839,            0.022357,            0.010774,             0.81294,             0.73036,             0.78962,              0.5376,            0.030991,            0.010415,            0.018859,            0.007393,            0.007393,            0.007393
                  81,             0.03166,            0.021808,            0.010877,              0.7319,             0.76932,             0.78011,             0.52498,            0.031011,             0.01057,            0.020018,             0.00736,             0.00736,             0.00736
                  82,            0.031509,            0.021748,             0.01014,             0.76455,             0.73746,             0.79081,             0.53062,            0.030834,            0.010684,            0.020284,            0.007327,            0.007327,            0.007327
                  83,            0.031538,            0.021753,            0.010166,             0.84033,              0.7044,              0.7974,             0.54012,            0.030632,            0.010726,            0.019237,            0.007294,            0.007294,            0.007294
                  84,            0.031677,            0.022174,            0.010526,             0.75021,             0.78336,             0.79678,              0.5431,            0.030364,            0.010509,            0.018509,            0.007261,            0.007261,            0.007261
                  85,            0.031704,            0.021669,             0.01023,             0.82867,             0.70727,             0.78691,             0.53627,             0.03105,            0.010692,            0.019037,            0.007228,            0.007228,            0.007228
                  86,            0.031191,            0.021515,             0.01014,              0.7684,             0.75791,             0.78492,             0.53114,            0.030495,            0.010731,            0.017991,            0.007195,            0.007195,            0.007195
                  87,            0.031233,            0.021369,            0.010131,             0.81518,             0.72561,             0.80312,             0.54795,            0.029971,            0.010405,            0.019363,            0.007162,            0.007162,            0.007162
                  88,            0.031579,            0.021755,           0.0098519,             0.80433,             0.70185,             0.78752,              0.5348,            0.031182,            0.010828,            0.019331,            0.007129,            0.007129,            0.007129
                  89,            0.030926,            0.021434,           0.0097701,             0.79255,             0.74191,              0.7957,               0.539,            0.030469,            0.010697,            0.020562,            0.007096,            0.007096,            0.007096
                  90,            0.030888,            0.021464,           0.0098992,             0.77052,             0.75182,             0.80268,             0.54267,            0.031087,            0.010645,            0.020938,            0.007063,            0.007063,            0.007063
                  91,            0.030852,            0.021356,            0.010416,             0.79067,             0.72131,              0.7864,             0.53226,            0.031292,            0.010737,            0.021018,             0.00703,             0.00703,             0.00703
                  92,            0.031375,            0.021546,           0.0094657,             0.84112,             0.71529,             0.80489,             0.53373,            0.030473,            0.010471,            0.020358,            0.006997,            0.006997,            0.006997
                  93,            0.030514,             0.02134,           0.0096613,             0.83981,             0.72148,             0.79406,             0.54247,            0.031803,            0.010579,            0.018183,            0.006964,            0.006964,            0.006964
                  94,            0.030475,            0.020989,            0.010342,             0.74932,             0.75574,             0.78961,              0.5249,            0.031272,            0.010518,            0.019739,            0.006931,            0.006931,            0.006931
                  95,            0.031305,            0.021183,           0.0097244,             0.85537,             0.68862,             0.79335,             0.53909,            0.031121,            0.010744,            0.020032,            0.006898,            0.006898,            0.006898
                  96,            0.030457,            0.021398,            0.009058,             0.77854,             0.73987,             0.78368,             0.53737,            0.031821,            0.011039,            0.018992,            0.006865,            0.006865,            0.006865
                  97,            0.031057,            0.021202,           0.0096228,             0.79938,              0.7388,             0.79669,             0.53657,            0.030532,            0.010785,             0.01883,            0.006832,            0.006832,            0.006832
                  98,            0.030488,            0.020829,           0.0092411,             0.80951,             0.70611,             0.79113,             0.53005,            0.032271,            0.010848,            0.021538,            0.006799,            0.006799,            0.006799
                  99,             0.03102,            0.020329,           0.0095247,             0.76595,             0.76695,             0.80281,             0.54251,            0.031351,            0.010863,            0.017843,            0.006766,            0.006766,            0.006766
                 100,             0.03106,            0.021024,            0.010043,             0.79157,             0.72636,             0.79269,             0.52642,            0.031338,            0.010807,            0.016824,            0.006733,            0.006733,            0.006733
                 101,            0.030905,             0.02142,            0.009683,             0.75161,             0.78184,             0.81095,             0.55001,            0.030367,            0.010817,            0.017274,              0.0067,              0.0067,              0.0067
                 102,            0.029996,            0.021219,           0.0091073,             0.79628,             0.71179,              0.8066,             0.56077,            0.029523,            0.010732,            0.018716,            0.006667,            0.006667,            0.006667
                 103,            0.030738,            0.020796,           0.0093625,             0.77753,             0.74372,             0.79439,             0.53811,            0.031229,            0.010712,            0.018999,            0.006634,            0.006634,            0.006634
                 104,            0.030445,            0.020389,           0.0091863,             0.79284,             0.71529,             0.79167,             0.53079,            0.031483,            0.010956,            0.016949,            0.006601,            0.006601,            0.006601
                 105,              0.0307,            0.020677,            0.009761,             0.74134,             0.77145,             0.78822,             0.53902,            0.030251,            0.010553,            0.016275,            0.006568,            0.006568,            0.006568
                 106,            0.030366,            0.020547,           0.0097767,              0.8342,             0.72229,             0.80884,             0.54617,            0.030675,            0.010701,            0.016412,            0.006535,            0.006535,            0.006535
                 107,             0.02992,            0.020801,           0.0092768,             0.79482,             0.75411,              0.8107,             0.55115,            0.030934,            0.011064,            0.016236,            0.006502,            0.006502,            0.006502
                 108,            0.029888,            0.020577,           0.0093549,             0.74187,             0.74097,             0.78256,             0.53397,            0.030822,            0.010905,            0.016873,            0.006469,            0.006469,            0.006469
                 109,            0.029965,            0.020652,           0.0094804,             0.75928,             0.76344,              0.7957,             0.53841,            0.030551,            0.011115,            0.018077,            0.006436,            0.006436,            0.006436
                 110,            0.030093,            0.020603,           0.0091479,             0.84987,             0.71447,             0.79726,             0.54135,            0.030781,            0.010525,            0.017551,            0.006403,            0.006403,            0.006403
                 111,            0.030045,            0.020997,           0.0092586,             0.78815,             0.75165,             0.79876,             0.54092,            0.030185,            0.010538,            0.018676,             0.00637,             0.00637,             0.00637
                 112,            0.029675,            0.020532,           0.0083542,             0.75745,             0.78365,             0.80633,             0.54283,            0.030876,            0.010437,            0.018726,            0.006337,            0.006337,            0.006337
                 113,            0.030102,            0.020311,           0.0095548,             0.76791,             0.75601,             0.79933,             0.54796,            0.029591,            0.010769,            0.018011,            0.006304,            0.006304,            0.006304
                 114,            0.029869,            0.020817,           0.0093912,             0.77905,             0.76366,              0.8017,             0.54294,             0.03037,            0.010788,            0.017021,            0.006271,            0.006271,            0.006271
                 115,            0.029349,            0.020059,           0.0091436,             0.78827,             0.74064,             0.79642,             0.54065,            0.030295,            0.010871,            0.017213,            0.006238,            0.006238,            0.006238
                 116,            0.029482,            0.020584,           0.0089954,             0.79774,             0.74607,             0.80348,             0.54715,            0.030082,            0.010731,            0.018561,            0.006205,            0.006205,            0.006205
                 117,            0.029238,            0.019963,           0.0084854,             0.77289,              0.7696,             0.79593,             0.54842,            0.031225,            0.010687,             0.01697,            0.006172,            0.006172,            0.006172
                 118,            0.029672,            0.020922,           0.0090497,             0.78997,             0.77121,             0.81248,             0.55067,            0.029646,            0.010625,            0.016631,            0.006139,            0.006139,            0.006139
                 119,            0.030211,            0.020883,           0.0091737,             0.80371,             0.70616,             0.78914,             0.54195,            0.030322,            0.011021,             0.01651,            0.006106,            0.006106,            0.006106
                 120,            0.029836,            0.020751,           0.0090086,             0.75894,             0.76816,             0.79922,             0.54682,            0.030561,            0.010748,            0.015469,            0.006073,            0.006073,            0.006073
                 121,            0.029409,            0.020096,           0.0084691,             0.80623,             0.74362,             0.80002,             0.54061,            0.030629,            0.010883,            0.015515,             0.00604,             0.00604,             0.00604
                 122,            0.029277,            0.019974,           0.0088971,             0.78445,             0.77409,             0.80217,             0.54443,            0.030575,            0.010744,            0.015532,            0.006007,            0.006007,            0.006007
                 123,            0.029456,            0.020115,           0.0089858,             0.79947,             0.71921,             0.79282,             0.54502,            0.030297,            0.010873,            0.015884,            0.005974,            0.005974,            0.005974
                 124,            0.029353,            0.020502,           0.0084117,              0.7743,             0.74758,             0.79741,             0.54693,            0.029949,            0.010914,            0.016402,            0.005941,            0.005941,            0.005941
                 125,            0.029361,            0.020053,           0.0084325,             0.77713,             0.78692,             0.81338,              0.5507,            0.029952,            0.010784,            0.016798,            0.005908,            0.005908,            0.005908
                 126,            0.029672,              0.0202,            0.007954,             0.80388,             0.76221,             0.82055,             0.55552,            0.029547,            0.010541,            0.018435,            0.005875,            0.005875,            0.005875
                 127,            0.028716,            0.019653,           0.0080952,              0.7737,             0.77256,             0.80813,             0.56053,            0.029658,            0.010624,            0.019361,            0.005842,            0.005842,            0.005842
                 128,            0.029369,            0.020694,           0.0079165,             0.80679,             0.75811,             0.82273,             0.57179,            0.029588,             0.01053,            0.017656,            0.005809,            0.005809,            0.005809
                 129,            0.028831,            0.020143,           0.0087241,             0.75209,             0.81032,             0.82755,             0.56798,            0.029555,            0.010467,            0.017072,            0.005776,            0.005776,            0.005776
                 130,            0.029205,            0.020131,           0.0085226,             0.80271,             0.75858,              0.8215,             0.57138,            0.029517,            0.010428,            0.017225,            0.005743,            0.005743,            0.005743
                 131,            0.029108,            0.020193,           0.0088989,             0.80811,             0.76592,             0.82139,             0.56914,            0.029295,              0.0106,            0.018259,             0.00571,             0.00571,             0.00571
                 132,            0.028655,            0.019598,           0.0081806,             0.78301,             0.79243,             0.81514,             0.56219,              0.0298,            0.010903,            0.016325,            0.005677,            0.005677,            0.005677
                 133,            0.028931,            0.020394,           0.0081725,             0.80942,              0.7532,             0.81123,             0.56134,            0.029169,            0.010654,            0.016109,            0.005644,            0.005644,            0.005644
                 134,            0.029047,            0.020344,           0.0086922,              0.7798,             0.77625,             0.81164,             0.56355,            0.029173,            0.010655,            0.016309,            0.005611,            0.005611,            0.005611
                 135,            0.028727,            0.020143,           0.0082793,             0.79735,             0.76057,             0.81494,             0.56701,            0.028631,             0.01052,            0.019336,            0.005578,            0.005578,            0.005578
                 136,             0.02885,            0.019881,           0.0079763,             0.79313,             0.78584,             0.81477,             0.56973,            0.028722,            0.010567,            0.015375,            0.005545,            0.005545,            0.005545
                 137,            0.028737,            0.019616,           0.0085007,             0.84488,             0.74106,             0.82416,              0.5791,            0.028964,            0.010374,            0.015862,            0.005512,            0.005512,            0.005512
