               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.030491,            0.020669,           0.0097529,             0.75587,             0.72741,             0.76867,             0.51247,            0.033496,            0.011092,            0.014473,            0.008482,            0.008482,            0.008482
                  94,            0.031328,            0.021289,            0.011055,             0.78929,             0.70002,              0.7685,             0.50466,            0.031569,            0.010801,            0.015352,           0.0084655,           0.0084655,           0.0084655
                  95,            0.031136,            0.021377,            0.010078,             0.81053,             0.69496,             0.77485,             0.51455,            0.031801,            0.010684,            0.016286,            0.008449,            0.008449,            0.008449
                  96,            0.030865,            0.021007,            0.009567,             0.80148,             0.68467,             0.76922,             0.51746,            0.032554,             0.01077,            0.014989,           0.0084325,           0.0084325,           0.0084325
                  97,            0.030327,            0.020331,           0.0091258,             0.73572,             0.73073,             0.75693,             0.50468,            0.033082,            0.010876,            0.014336,            0.008416,            0.008416,            0.008416
                  98,             0.02996,            0.020821,           0.0086681,             0.83605,             0.68506,             0.76118,             0.51078,            0.032472,            0.010799,            0.015039,           0.0083995,           0.0083995,           0.0083995
                  99,            0.030189,            0.020723,           0.0092374,             0.79892,             0.70696,             0.76772,             0.52158,            0.032196,            0.010733,            0.015668,            0.008383,            0.008383,            0.008383
                 100,            0.029987,            0.020473,           0.0089554,              0.8057,             0.68491,             0.76705,             0.52028,            0.032818,            0.010676,            0.016744,           0.0083665,           0.0083665,           0.0083665
                 101,            0.029812,            0.020348,            0.008844,             0.76058,             0.73307,             0.76365,             0.51286,             0.03218,            0.010955,            0.015222,             0.00835,             0.00835,             0.00835
                 102,            0.030607,             0.02092,           0.0088658,             0.78336,              0.7117,             0.76132,             0.51562,            0.031058,            0.010651,            0.016642,           0.0083335,           0.0083335,           0.0083335
                 103,            0.030049,            0.020495,           0.0086072,             0.76795,             0.74102,             0.77085,             0.52072,            0.032388,             0.01066,            0.017025,            0.008317,            0.008317,            0.008317
                 104,            0.029874,            0.020225,           0.0084431,              0.7829,             0.71047,             0.77008,              0.5218,            0.031688,            0.011024,            0.015939,           0.0083005,           0.0083005,           0.0083005
                 105,            0.029462,            0.020052,           0.0086465,             0.80884,             0.69888,             0.76636,             0.51636,            0.031334,            0.010664,            0.016549,            0.008284,            0.008284,            0.008284
